DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
8,1970,3396,0.0,164.15,579.5,164.15,0.0,650.7,0.0,456.07,34.71,1.3732,4.1645,0.8877,40927.14,0.8906,0.06,0,,31.1,2006.0,688.5813,71669.34,70574.64,3903.07,0,2.65,0.0,0.0,44.1243,0.0,996.39,263.6899,3.964057264696924,0.624,1234.5142648173469,5.471666666666667,15.41650238,True,14.984647302904566,1
4,1900,2765,1.0,74.37,228.65,74.37,0.0,383.15,0.0,375.95,14.09,1.2333,4.8487,0.0403,22464.98,0.5968,0.02,0,,92.0,1997.0,388.07,18762.96,18762.96,0.0351,0,0.423591352037601,0.0,0.0,133.89,0.0,528.62,6.66,5.151942987763882,0.65,687.1692398160047,2.479,10.63954636,True,11.529630692940104,1
8,1910,2463,0.0,180.47,516.19,180.47,180.47,646.24,646.24,491.47,24.72,1.1368,4.6471,0.224,67770.25,0.7988,12.89,0,,35.0,1999.0,545.9098,75681.05,74251.47,3974.355,0,7.6875,0.0,0.0,576.4243,0.0,1448.5497,326.2157,3.580872167119189,0.754,1262.714787043993,6.015666666666666,13.47158816,True,16.588137534043078,1
13,1950,2634,0.0,1552.73,4509.22,1552.73,0.0,8002.56,0.0,4067.47,441.75,1.3259,4.5624,0.135,750219.88,0.5635,0.09,1,,323.5,2014.0,397.8,462888.54,462888.54,7381.6318,0,1.60968959396784,0.0,0.0,0.0,0.0,398.71,0.91,5.1538644838445835,0.749,14043.771593451534,51.757666666666665,148.16997346,True,11.525332143714012,1
4,2017,2568,1.0,388.4,1198.0,388.4,0.0,2010.8,0.0,1125.1,72.9,0.2171,1.4,0.0205,163574.5,0.5958,0.01,0,,54.0,2017.0,53.82,39244.31,39163.58,0.1549,0,0.478662950656703,0.0,0.0,0.0,0.0,58.43,4.61,5.177136972193615,1.874,3536.625984559992,12.946666666666664,6.9263842,True,11.473522975929976,1
4,1970,2978,1.0,330.04,555.74,330.04,0.0,1367.34,0.0,497.19,58.54,0.2677,3.3538,0.0266,53367.34,0.4064,17.15,2,,175.0,2006.0,166.6678,39378.22,39351.09,495.06,0,0.5,0.0,0.0,98.3743,0.0,274.2113,9.1692,4.142952369409768,0.715,2549.3562989686943,11.001333333333331,6.588584300000001,True,14.337601474395546,1
4,1994,2426,2.0,110.5,225.8,110.5,53.8,426.2,207.5,169.99,32.21,2.8568,2.689,0.6361,2973.89,0.5298,16.14,0,,32.0,2001.0,322.2196,28137.37,28132.37,268.7543,0,0.9006,0.0,43.1551,130.0676,0.0,499.5404,4.0982,3.8570135746606335,0.79,818.8260794836718,3.683333333333333,11.444802440000002,True,15.400516189582357,1
13,1960,2640,0.0,1359.294,3828.19,1359.29,0.0,8318.21,0.0,3607.56,220.64,1.2375,2.5301,0.1204,308241.53,0.4602,108.3,0,,217.8,1996.0,393.7134,353230.73,353230.73,11356.4324,0,0.9817,0.0,0.0,27.0531,3.5639,424.3303,0.0,6.119525634706354,0.66,14049.165011012645,45.309666666666665,100.45193528,True,9.706634720691111,1
5,1954,2477,0.0,597.71,1197.17,597.71,427.03,2136.78,1525.95,1123.65,70.99,1.1386,1.4607,0.189,276588.56,0.5603,0.03,1,,105.0,2020.0,134.45,63005.62,61686.43,1943.9893,0,1.26704945066482,0.0,9.62,64.83,4.75,265.63,51.99,3.574944371016045,0.768,4152.486461020026,19.92366666666667,27.661659660000005,True,16.61564316401314,1
11,1970,2617,0.0,224.83,1645.85,1035.54,525.86,3820.49,1900.63,3138.28,57.81,1.4297,5.0189,1.283,145315.29,0.4308,0.01,1,,160.0,2000.0,298.8107,195891.59,195795.0,18175.56,0,2.72,0.0,25.5109,0.5254,0.0,360.79,35.9381,3.68936979740039,0.633,7344.711055128635,34.518,95.53883050000005,True,16.100310693130986,1
