DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
4,1999,2687,,4768.197,21588.71,4768.2,0.0,25481.25,0.0,18800.2,2788.52,0.7152,3.5431,0.5508,3562140.0,0.8472,463.71,19,1418.49,1999.0,335.4546,1297539.14,1297314.72,0.0,0,0.64,0.0,0.0,41.7224,0.0,385.3553,8.1783,5.343997734994337,0.811,44303.65059785613,158.94,466.51816504,True,11.115274172185428,2
13,1970,2617,0.0,7924.462,12670.18,7924.46,7924.46,35639.21,35639.21,11626.71,2100.46,0.7588,2.9399,0.2098,2681174.0,0.3555,140.77,1,1615.2,1980.0,134.895,1186784.9,886411.48,0.0,0,1.3331,0.0,0.0,45.2868,0.4818,304.5978,123.9341,4.497367643978265,0.829,64671.38714169163,264.14866666666666,299.94979804,True,13.207726097183413,2
13,1983,2617,,7846.709,11887.51,7846.71,0.0,33742.43,0.0,11189.45,698.06,0.776,2.7851,0.4064,2832623.0,0.3523,289.52,1,1863.23,1998.0,174.8001,1029553.52,906892.38,33021.9297,2,0.64,4.4793,0.0,42.7188,0.0,222.7405,0.7423,4.30020097595043,0.661,61973.59866494336,261.557,212.54360212000003,True,13.813307873795694,2
13,1970,2617,,4985.01,7283.12,4985.01,0.0,20778.64,0.0,6578.01,964.52,1.0856,3.9927,0.5421,1082152.0,0.3505,173.0,1,1960.08,2016.0,191.8865,726466.36,726429.48,0.0,0,0.9553,0.0,0.0,52.8284,0.7557,246.1847,0.714,4.16822433656101,0.759,38498.89126215697,166.167,219.8425332,True,14.250672517546867,2
13,1990,3014,,5583.85,11462.75,5583.85,0.0,26820.03,0.0,10790.58,791.12,0.8681,3.1165,0.3282,1842434.0,0.4274,215.44,1,870.67,1990.0,230.8652,928963.58,901673.81,11106.9551,2,3.44,1.0981,0.0,70.9286,0.845,304.4034,0.6664,4.8031429927379845,0.699,47851.14826618751,186.12833333333336,236.65655956,True,12.366902274158532,2
13,1964,2617,,7100.291,7799.61,7100.29,0.0,25246.22,0.0,7169.36,630.25,1.4434,4.3343,0.723,2241545.0,0.3089,317.14,19,400.0,1997.0,181.3332,1070104.73,1070086.11,0.0,0,2.0304,0.0,0.0,50.3234,0.0,232.1123,0.4557,3.5556604026032743,0.831,49028.73481066518,236.67633333333333,261.59893598,True,16.705757376747883,2
13,1973,2617,,4749.85,9119.12,4749.85,0.0,20863.88,0.0,8149.27,969.85,1.1178,4.5489,0.2707,1889290.0,0.4371,442.92,19,600.0,2006.0,251.7367,950607.29,950578.24,0.0,0,0.64,0.0,0.0,43.0796,0.5631,296.4422,1.0628,4.392534501089508,0.795,38104.61566551878,158.32833333333335,270.42009342,True,13.522944437947304,2
13,1900,2559,,210.12,7684.66,3535.46,0.0,20733.04,0.0,6849.48,1179.09,0.928,2.2311,0.1882,747130.6,0.3706,64.38,19,800.0,2020.0,367.1928,752669.8,752279.26,0.0,0,1.0183,0.0,0.0,28.8722,0.6347,398.0284,1.3287,5.86431185758006,0.579,35308.10626890607,117.84866666666667,179.73970278,True,10.129065684530586,2
5,1960,2555,,5403.588,9203.6,5403.59,1116.24,26975.57,5057.2,8610.16,676.71,1.0352,4.2929,0.2654,2350598.0,0.3412,228.21,1,1828.91,1999.0,194.3302,895219.78,752493.66,9131.2471,2,0.64,37.2701,6.536,81.5976,3.7439,337.3183,13.8405,4.992157065950599,0.717,47669.237323911024,180.11966666666666,236.36571982,True,11.898664087542915,2
13,1902,2617,,4904.38,9356.93,4904.38,0.0,28424.26,0.0,8366.25,990.68,1.1208,3.0604,0.059,2146855.0,0.3292,415.43,19,900.0,2006.0,237.8093,931665.55,931628.3,0.0,0,0.9438,0.0,0.0,46.9222,0.1983,286.2494,1.3196,5.795688751687267,0.799,48523.54784144885,163.47933333333333,248.17540143999997,True,10.248997581643287,2
6,2000,2664,0.0,2468.991,6507.2,2468.99,2346.82,12472.83,12004.38,6349.2,157.99,1.1793,2.7643,0.4898,518058.13,0.5217,99.31,19,400.0,2000.0,916.3811,2106789.81,1511966.98,162730.9043,1,10.1459,0.0,16.9337,257.641,0.0,1232.4167,41.4609,5.051794458462773,0.668,21985.50398802655,82.29966666666665,158.48686634,True,11.758198099388832,2
13,1990,3108,,8671.28,14644.23,8745.49,0.0,42579.7,0.0,13250.63,1393.6,0.9966,3.3408,0.4616,3419997.0,0.3439,111.5,1,2030.22,2010.0,237.7271,1426804.81,1337338.23,57183.7461,2,0.918,25.103,0.0,43.7341,0.3691,307.5797,0.6464,4.86876092706069,0.643,75702.20403471917,291.5163333333333,357.22633476,True,12.20022935812136,2
