,DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max
1,8,1970,3396,0.0,164.15,579.5,164.15,0.0,650.7,0.0,456.07,34.71,1.3732,4.1645,0.8877,40927.14,0.8906,0.06,0,,31.1,2006.0,688.5813,71669.34,70574.64,3903.07,0,2.65,0.0,0.0,44.1243,0.0,996.39,263.6899,3.964057264696924,0.624,1234.5142648173467,5.471666666666667,15.41650238,True,14.984647302904566
2,4,1999,2687,,4768.197,21588.71,4768.2,0.0,25481.25,0.0,18800.2,2788.52,0.7152,3.5431,0.5508,3562140.0,0.8472,463.71,19,"
						",1418.49,1999.0,335.4546,1297539.14,1297314.72,0.0,0,0.64,0.0,0.0,41.7224,0.0,385.3553,8.1783,5.343997734994337,0.811,44303.65059785613,158.94,466.51816504,True,11.115274172185428
3,8,2005,2426,1.0,129.18,487.23,129.18,0.0,493.73,0.0,372.59,29.7,1.7313,3.5837,0.8907,34963.81,0.9868,12.85,0,"
",24.0,2008.0,820.8635,79808.64,79219.96,4189.06,0,6.61,0.0,0.0,1.8734,0.0,1131.64,308.8992,3.822031274191051,0.747,949.1620628148212,4.306,15.03001914,True,15.541474085026229
4,4,1900,2765,1.0,74.37,228.65,74.37,0.0,383.15,0.0,375.95,14.09,1.2333,4.8487,0.0403,22464.98,0.5968,0.02,0,,92.0,1997.0,388.07,18762.96,18762.96,0.0351,0,0.423591352037601,0.0,0.0,133.89,0.0,528.62,6.66,5.151942987763882,0.65,687.1692398160047,2.479,10.63954636,True,11.529630692940104
5,13,1975,2524,,640.0999,1313.86,640.1,0.0,2955.35,0.0,1229.9,83.96,1.1547,1.1143,0.5885,76942.38,0.4446,38.15,1,"
						",105.29,2017.0,184.1812,104816.57,99250.34,1045.126,1,1.2277,2.2079,0.0,0.0,0.0,203.4942,17.1051,4.617012966723949,0.842,5338.720031148233,21.336666666666666,30.274443160000008,True,12.865460943712252
9,13,1978,2688,,2109.76,4321.05,2109.76,2109.76,10726.08,10726.08,3953.99,367.06,1.0274,1.5444,0.0418,628046.1,0.4029,68.03,0,"
						",520.13,1991.0,257.8078,351240.27,351114.54,0.0,0,2.5459,0.0,0.0,33.7533,0.4703,292.3402,0.3088,5.084028515091763,0.646,18879.661387870856,70.32533333333335,92.5843358,True,11.683648080193326
10,4,1900,3224,0.0,145.38,623.28,224.66,0.0,930.86,0.0,391.82,46.72,1.1469,2.2575,0.02,107029.61,0.6696,0.04,1,"
						",49.19,2021.0,189.1268,35139.31,35139.31,309.93,0,0.5,0.0,0.0,33.9435,0.0,253.21,30.1441,4.143416718596991,0.827,1739.4694749619925,7.488666666666666,11.09697516,True,14.33599467159401
14,8,1910,2463,0.0,180.47,516.19,180.47,180.47,646.24,646.24,491.47,24.72,1.1368,4.6471,0.224,67770.25,0.7988,12.89,0,,35.0,1999.0,545.9098,75681.05,74251.47,3974.355,0,7.6875,0.0,0.0,576.4243,0.0,1448.5497,326.2157,3.580872167119189,0.754,1262.714787043993,6.015666666666666,13.471588160000001,True,16.588137534043078
15,13,1950,2634,0.0,1552.73,4509.22,1552.73,0.0,8002.56,0.0,4067.47,441.75,1.3259,4.5624,0.135,750219.88,0.5635,0.09,1,,323.5,2014.0,397.8,462888.54,462888.54,7381.6318,0,1.60968959396784,0.0,0.0,0.0,0.0,398.71,0.91,5.1538644838445835,0.749,14043.771593451534,51.757666666666665,148.16997346,True,11.525332143714012
16,13,1980,2542,,5235.97,8108.5,5235.97,0.0,18896.79,0.0,7304.66,803.84,0.8652,3.401,0.1889,1880314.0,0.4291,237.61,1,"
						",749.04,2020.0,195.6847,704407.22,704383.56,0.0,0,1.8274,0.0,0.0,42.4242,337.9722,576.341,0.2599,3.6090332832311875,0.687,36530.854309152026,174.53233333333336,181.07703344000004,True,16.458701080977246
17,13,1970,2617,0.0,7924.462,12670.18,7924.46,7924.46,35639.21,35639.21,11626.71,2100.46,0.7588,2.9399,0.2098,2681174.0,0.3555,140.77,1,"
						",1615.2,1980.0,134.895,1186784.9,886411.48,0.0,0,1.3331,0.0,0.0,45.2868,0.4818,304.5978,123.9341,4.497367643978265,0.829,64671.38714169163,264.14866666666666,299.94979804,True,13.207726097183413
19,13,1990,2667,,2374.18,4243.73,2374.18,0.0,10160.06,0.0,3839.07,480.89,1.0493,2.6554,0.1679,1267538.0,0.4177,174.25,1,"
						",278.0,2022.0,193.6486,352530.5,352345.64,0.0,0,0.64,0.0,0.0,31.7756,1.7858,232.1243,4.9143,4.279397518301056,0.766,18694.439277826223,79.13933333333333,106.10582914,True,13.880458579969016
20,4,2017,2568,1.0,388.4,1198.0,388.4,0.0,2010.8,0.0,1125.1,72.9,0.2171,1.4,0.0205,163574.5,0.5958,0.01,0,,54.0,2017.0,53.82,39244.31,39163.58,0.1549,0,0.478662950656703,0.0,0.0,0.0,0.0,58.43,4.61,5.177136972193615,1.874,3536.625984559992,12.946666666666665,6.9263842,True,11.473522975929976
25,13,2005,4100,,5870.33,15850.11,5870.33,0.0,26118.44,0.0,14744.72,1105.39,0.2433,2.9359,0.0823,2790665.0,0.6069,387.41,1,"
						",756.9,2022.0,179.4819,905350.64,877579.64,2948.3655,2,0.64,7.4481,0.0,42.7144,0.647,230.8952,0.6037,4.449228578291169,0.833,47534.22946868061,195.67766666666665,136.65409753999998,True,13.350628980903911
28,13,1973,2825,,3570.34,6667.8,3570.34,0.0,14084.18,0.0,6379.72,288.08,0.7807,1.6292,0.3904,1627864.0,0.4734,50.99,0,"
						",814.0,1994.0,164.7128,348393.5,348393.5,0.0,0,0.329,0.0,0.0,0.0,0.0,164.7128,0.0,3.944772766739302,0.592,26512.639124501773,119.01133333333334,108.99974680000001,True,15.057901560474235
29,4,1970,2978,1.0,330.04,555.74,330.04,0.0,1367.34,0.0,497.19,58.54,0.2677,3.3538,0.0266,53367.34,0.4064,17.15,2,,175.0,2006.0,166.6678,39378.22,39351.09,495.06,0,0.5,0.0,0.0,98.3743,0.0,274.2113,9.1692,4.142952369409768,0.715,2549.3562989686943,11.001333333333333,6.588584300000001,True,14.337601474395546
31,4,1994,2426,2.0,110.5,225.8,110.5,53.8,426.2,207.5,169.99,32.21,2.8568,2.689,0.6361,2973.89,0.5298,16.14,0,,32.0,2001.0,322.2196,28137.37,28132.37,268.7543,0,0.9006,0.0,43.1551,130.0676,0.0,499.5404,4.0982,3.8570135746606335,0.79,818.8260794836718,3.683333333333333,11.444802440000002,True,15.400516189582355
33,6,1462,2735,0.0,584.56,2073.76,584.56,0.0,3998.35,0.0,2094.96,58.56,0.7136,3.9849,0.056,175052.57,0.5187,14.91,1,"
						",89.8,2004.0,567.1279,267178.14,267178.14,9215.56,0,3.12,0.0,0.0,38.2837,1.1097,606.5212,0.0,6.839930888189408,0.806,6615.93405623046,19.485333333333333,34.566384,True,8.684298273037628
37,13,1983,2617,,7846.709,11887.51,7846.71,0.0,33742.43,0.0,11189.45,698.06,0.776,2.7851,0.4064,2832623.0,0.3523,289.52,1,"
						",1863.23,1998.0,174.8001,1029553.52,906892.38,33021.9297,2,0.64,4.4793,0.0,42.7188,0.0,222.7405,0.7423,4.30020097595043,0.661,61973.59866494336,261.557,212.54360212000003,True,13.813307873795694
38,13,1970,2617,,4985.01,7283.12,4985.01,0.0,20778.64,0.0,6578.01,964.52,1.0856,3.9927,0.5421,1082152.0,0.3505,173.0,1,"
						",1960.08,2016.0,191.8865,726466.36,726429.48,0.0,0,0.9553,0.0,0.0,52.8284,0.7557,246.1847,0.714,4.16822433656101,0.759,38498.89126215697,166.167,219.8425332,True,14.250672517546867
40,13,1990,3014,,5583.85,11462.75,5583.85,0.0,26820.03,0.0,10790.58,791.12,0.8681,3.1165,0.3282,1842434.0,0.4274,215.44,1,"
						",870.67,1990.0,230.8652,928963.58,901673.81,11106.9551,2,3.44,1.0981,0.0,70.9286,0.845,304.4034,0.6664,4.8031429927379845,0.699,47851.14826618751,186.12833333333336,236.65655956,True,12.366902274158532
