DPR412_classification,construction_year,latitude,longitude,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max
8,1910,44.40092035,8.66069772,2846,0,179.8348,1120.28,174.27,0.0,1827.11,0.0,523.36,30.39,0.2919,1.6172,0.1095,43628.02,0.949,8.68,1,34.56,2018,255.2666,25459.24,45675.82,1665.53787445,0,0.64125319,0.0,0.0,321.5196,0.0,893.9654,364.5804,10.484363344235955,1.027,2844.5092915830955,5.809,4.03830984,True,5.6655800690708285
13,1976,45.04803964,7.82845349,2541,,505.1994,3899.24,498.28,781.97,14956.98,0.0,4347.37,24.88,0.6061,2.4434,0.3412,540510.84,1.0149,114.63,19,841.21,2017,320.4885,547635.66,446222.77,0.0,0,0.99196766,0.0,0.0,36.9317,128.2995,342.4756,0.7914,30.01721923416553,2.794,21110.367006539705,16.609333333333332,53.914654979999995,True,1.9788641824753392
10,1859,44.84822855,7.30597509,2701,1,519.8826,798.64,146.69,0.0,1798.99,0.0,484.46,55.23,0.7646,2.4496,0.3452,194088.41,0.7825,0.04,4,31.01,2012,340.7208,108184.99,121207.76,0.0,0,0.30045042,0.0,0.0,24.8791,0.0,492.0125,2.7881,12.263889835707955,2.425,2752.704770282318,4.889666666666667,10.11419048,True,4.843487734784518
5,1943,45.07102425,7.48161255,2672,1,34.7259,847.17,374.22,265.16,1615.73,1345.97,629.22,129.27,0.9162,3.9658,0.265,49762.11,0.5996,19.02,0,47.19,2003,409.8359,121251.29,121875.22,887.13763213,0,1.46539077,0.0,0.0,105.1603,0.0,399.2941,24.1418,4.3175939287050396,0.795,2976.618983336503,12.474,21.783006600000004,True,13.757662480736263
13,1980,44.33609669,8.4091309,2617,,4571.6534,1743.32,1117.97,0.0,3742.4,0.0,1638.82,237.88,1.1333,1.1444,0.0481,283321.52,0.4355,31.35,1,191.48,2016,89.6645,41489.49,156069.63,982.73885977,1,0.64321259,22.1737,0.0,15.3109,0.0,80.7018,0.3502,3.347495907761389,1.557,7417.844270669021,37.26566666666667,42.59009156,True,17.744607203933306
6,1980,45.26001978,7.65337952,2644,1,1173.9829,707.51,169.34,794.26,1198.87,0.0,1089.8,90.93,0.3756,2.1366,0.2759,183060.21,2.3326,12.78,4,105.09,2021,350.4356,181475.12,223452.54,290.58959066,0,3.47987069,0.0,0.0,17.336,0.0,515.7586,2.9024,7.079662218022912,3.765,1985.9792967315877,5.644666666666667,12.07219836,True,8.390230800670633
13,1930,45.38990807,7.54647932,2564,,160.8182,9007.3,4761.4,2388.85,26103.62,19747.37,8240.39,849.58,0.7268,3.6506,0.4798,1559273.55,0.3979,393.08,1,930.85,2009,162.1057,780598.87,768532.44,263261.34979153,2,0.93761116,98.7702,0.1544,23.5968,2.294,123.7883,0.8424,5.482341328180787,0.996,45119.185318558186,158.7133333333333,181.81184399999998,True,10.834786899288297
13,1950,45.07313973,7.70905141,2815,0,2961.4169,958.92,1688.02,0.0,8245.31,0.0,2815.27,915.31,0.8099,4.4343,0.219,610886.42,0.4627,82.58,19,732.64,2006,304.6384,518824.37,985287.18,6024.81350801,0,0.64154274,0.0,0.0,40.2459,0.6032,259.0144,0.5502,4.884604447814599,1.916,14659.234433498481,56.26733333333333,126.77692611999998,True,12.160657149337016
13,2002,45.22329001,8.07929257,2617,,665.6803,1188.93,647.99,0.0,5541.09,0.0,2098.89,144.42,1.2975,0.8023,0.209,355817.87,1.7917,97.56,1,201.32,2016,140.9365,101463.89,102561.84,0.0,0,1.02627477,0.0,0.0,37.1931,10.5612,172.3544,3.7708,8.551196777728052,1.123,8815.24033451923,21.599666666666668,56.78355882,True,6.9463961061812745
6,1972,45.04857652,8.38572809,2559,0,221.9473,3007.53,645.59,0.0,3941.2,0.0,1309.11,46.51,0.7927,1.3878,0.2039,196861.55,0.4502,24.84,1,141.04,2008,223.0284,47974.33,162088.28,0.0,0,0.30211465,0.0,0.0,103.8471,0.0,277.4588,0.0,6.104803358168496,1.126,6669.523789919466,21.51966666666667,22.045561499999994,True,9.730043134070842
13,1992,45.15090385,7.60785689,2631,0,1501.0538,2520.32,1339.01,2269.46,8920.93,0.0,2620.24,83.42,1.2087,2.8646,0.124,503092.4,0.3637,169.77,1,255.59,2019,154.2344,410979.51,281003.55,16695.1266657,0,0.93306571,0.0,0.0,77.7082,0.4354,316.3604,0.8096,6.66233261887514,1.361,14810.558703282983,44.63366666666666,68.1209804,True,8.915796223039527
13,1983,44.68796034,7.52755609,2869,,2707.407,1316.02,3657.14,1914.68,20244.77,0.0,5320.37,382.91,2.0494,1.5063,0.3279,1620855.12,0.4139,208.17,19,752.78,2014,143.9732,646175.03,639780.53,0.0,0,0.32886126,0.0,0.0,33.0294,0.6809,221.5019,0.3804,5.53568362162783,1.215,34919.26208962457,121.90466666666666,229.60687221999996,True,10.730382019652483
4,1931,44.58716333,43.18822068,2837,0,156.3128,475.82,110.06,1110.42,1107.42,323.01,610.51,49.92,1.2044,4.6127,0.2324,99346.27,0.6761,13.79,31,22.72,2015,211.2969,4856.0,35849.97,557.03047418,0,0.49477114,0.0,0.0,15.3526,0.0,359.1299,0.0,10.061966200254407,1.542,1744.7826427868097,3.6686666666666667,19.31128456,True,5.903418757111123
5,1961,45.06848602,8.37267299,2748,1,3843.0226,748.35,230.23,0.0,1227.84,0.0,1063.27,76.72,0.9528,5.0145,0.5447,70049.95,0.8984,0.05,0,28.07,2000,179.5897,43271.69,32864.67,1810.84105335,0,1.31500541,0.0,0.0,0.0,0.0,512.2536,43.2303,5.333101680927768,0.795,2151.0586073683644,7.674333333333333,27.95592192,True,11.137983776387802
4,2002,45.11782277,8.19392766,2617,,528.5096,164.69,74.35,292.33,1399.87,3962.4,151.52,83.32,0.7325,1.2397,0.0122,56533.54,0.5567,9.18,5,101.54,2021,225.1306,57683.57,17866.45,0.0,0,0.47654028,0.0,0.0,28.6541,0.0,167.658,8.239,18.82811028917283,1.067,2083.7811525729444,2.478333333333333,4.285604080000001,True,3.154857236743412
13,1954,45.11879902,8.27782268,2955,0,1225.7757,6755.24,1223.61,0.0,4823.09,0.0,2344.4,231.5,1.2887,2.8904,0.2482,417334.51,0.5993,71.63,1,307.92,2012,177.717,446270.35,253596.13,0.18608337,0,0.50012576,0.0,0.0,27.6695,0.0,96.151,42.8101,3.941688936834449,1.166,9089.024059058565,40.787,73.8071176,True,15.069682299107006
4,1999,45.05463545,0.0,2754,0,819.1875,2212.5,237.12,779.74,5022.58,4346.78,2108.35,140.1,0.9145,0.9245,0.049,571764.42,0.4427,0.06,0,95.34,2004,186.0916,214037.73,213230.46,1036.40581622,0,0.43640702,0.0,0.0,0.0,0.0,780.6007,0.0,21.181595816464238,4.832,7273.159051015285,7.904,41.1521705,True,2.804321285076594
7,1973,45.60782812,7.67669613,2630,0,672.9346,943.8,411.33,0.0,2108.33,0.0,1040.26,21.87,0.2071,5.5811,0.2764,28996.87,0.8477,28.59,5,34.09,2000,135.9618,67102.05,44510.08,2210.41936882,2,1.0347861,0.0,0.0,34.9504,0.0,1007.6245,419.4781,5.125641212651642,0.796,3716.1042879790393,13.711,6.7499300600000005,True,11.588793974377825
